year,month,day,voltage,current,power,frequency,powerfactor,Energy
2021,2,20,202.3,0.03,0.8,50,0.13,0.35
2021,2,21,197.3,0.16,30.9,50,0.97,0.26
2021,2,22,200.4,0.03,0.8,50,0.13,0.35
2021,2,23,207.2,0.16,29.2,49.8,0.89,0.27
2021,2,24,211.5,0.16,29.4,49.9,0.88,0.4
2021,2,25,194.6,0.14,23.6,50,0.85,0.66
2021,2,26,193.5,0.17,31.8,49.9,0.98,0.66
2021,2,27,188.2,0.14,22.5,50,0.86,0.64
2021,2,28,185.3,0.16,28.5,50,0.98,0.63
2021,3,1,191.5,0.17,31,50,0.98,0.49
2021,3,2,195,0.15,24.2,50,0.86,0.61
2021,3,3,195.4,0.15,25,50,0.87,0.65
2021,3,4,202.9,0.15,25.9,49.9,0.86,0.47
2021,3,5,198.4,0.14,22.8,49.8,0.82,0.48
2021,3,6,191.3,0.16,28.8,49.9,0.97,0.51
2021,3,7,198.9,0.17,32.9,49.8,0.98,0.82
2021,3,8,202.6,0.17,34,50,0.98,0.69
2021,3,9,191.4,0.16,30.7,50,0.98,0.76
2021,3,10,190.7,0.16,28.7,49.9,0.97,0.36
2021,3,11,187.2,0.16,29.6,50,0.98,0.52
2021,3,13,226.8,0.12,27.3,50,0.99,0.03
2021,3,14,220.7,0.12,26,50,0.99,0.22
2021,3,15,230.8,0.12,28.1,50,0.99,0.61
2021,3,16,229.6,0.12,28,50,0.99,0.46
2021,3,17,221.4,0.12,26.6,49.9,0.99,0.19
2021,3,20,218.4,0.12,25.8,49.9,0.99,0.21
2021,3,21,212.4,0.12,24.5,49.9,0.99,0.4
2021,3,22,230.8,0.12,28.3,49.9,0.99,0.64
2021,3,23,222.83,0.12,26.65,49.97,0.99,0.63
2021,3,24,223.49,0.12,26.76,49.96,0.99,0.63
2021,3,25,222.42,0.12,26.59,49.97,0.99,0.59
2021,3,26,223.24,0.12,26.73,49.97,0.99,0.62
2021,3,27,220.58,0.12,25.93,49.97,0.99,0.6
2021,3,28,219.9,0.12,25.54,49.97,0.99,0.6
2021,3,29,220.12,0.12,25.59,49.97,0.99,0.62
2021,3,30,221.19,0.12,25.82,49.98,0.99,0.62
2021,3,31,222.05,0.12,25.82,49.97,0.99,0.61
2021,4,1,220.75,0.12,25.78,49.98,0.99,0.62
2021,4,2,221.36,0.12,25.9,49.98,0.99,0.62
2021,4,3,220.69,0.12,25.87,49.99,0.99,0.63
